,title,description
0,Reversi Sensory Challenger,[]
1,Medal of Honor: Warfighter - Includes Battlefield 4 Beta - Limited Edition,['Brand new sealed!']
2,street fighter 2 II turbo super nintendo snes super nes video game,[]
3,Xbox 360 MAS STICK,"[""MAS's Pro Xbox 360 Stick (Perfect 360 Stick) SF Style White/Green Overlay""]"
4,Phonics Alive! 3: The Speller,"['Phonics Alive! 3, The Speller teaches students to plan how to spell new and unfamiliar words. Traditional Spelling Rules are explained and actively taught, followed by practice activities. Sight Words are taught and practice games ensure that learning is fun. To best suit individual needs, students are able to choose from a variety of sight words (general lists, community signs, science words, mathematics words, secondary words or compound words). A wide variety of additional words are provided with sound files enabling teachers to add custom word lists to the program.', 'Students will advance their understanding of the grapho-phonic nature of our language and of the complicated alphabetic mapping system of English. The program consists of 15 modules. It is self paced and sequentional. The starting age of the program is 8 or grade 3.', 'Phonics Alive! 3, The Speller continues the tradition of excellence in offering fun learning through a high quality teacher resource. The student is again offered a technology based, highly interactive environment through which they are actively taught. It is a student centered approach, anticipating errors and stimulating interest through visual puns, broad humour, animation and sound effects.']"
5,Sim City 3000,['CD-ROM']
6,Phonics Alive! 2 The Sound Blender,[]
7,A to Zap,['a scholastic clubs fairs cd rom game']
8,Need for Speed Porsche Unleashed,['video game']
9,Freddi Fish and the Case of The Missing Kelp Seeds,"['Grandma Groupers kelp seeds are missing and without them all of the sea creatures will go hungry! Good thing Freddi Fish and her finny friend Luther are on the case, and, thanks to a couple of bumbling sharks, theyve got some great leads. But the oceans a big place--theres lots of ground to cover and many obstacles to overcome before the case is solved! Through underwater caves, deep canyons, colorful reefs and more, kids will be immersed for hours in this bottomless adventure of fun, friends, discovery and learning.\n\nPC\n33 MHz 486 with 8 MB RAM SVGA (640x480, 256 color) graphics\nWindows 95 or higher\nSound card\nDouble-speed CD-ROM drive \n\nMacintosh\nMinimum 25 MHz 68040 or Power PC with 8 MB of RAM, 640x480,256 color\nSystem 7.0 or higher\nDouble-speed CD-ROM drive']"
10,Ice Cream Truck,"['This software is BRAND NEW. Packaging may differ slightly from the stock photo above. Please click on our logo above to see over 15,000 titles in stock.']"
11,BRAND NEW Learning Company Oregon Trail 5th Edition Jewel Case Swollen Dreams Fears Adventures Rivers,"['OREGON TRAIL 5TH EDITION (JEWEL CASE). Create Your Journey.  Explore the West! Live the Adventure! Survive the Trail! Westward, Ho! Are you ready to travel the Oregon Trail It going to take insight and careful planning to choose the right traveling companions, gear, and supplies. Even then, there are countless unpredictable hazards, like swollen rivers, poisonous creatures, and deadly diseases.Decide your occupation, who you l take with you, and where you e headed! Learn From the Pioneers.  Talk with pioneers rish, African Americans, Native Americans, and other settlers. Share their dreams, fears, and adventures.  Blaze a Trail.  Ford raging rivers. Hunt, fish, and forage for food. Be a part of the taming of the wild West. From the banks of the great Mississippi to the sweeping Williamette Valley, you l carve your own trail through an historic adventure.  Discover Jeds Tales.  Through riveting mini-movies, you l befriend Captain Jed Freedman, an experienced fur trader who is trail-wise and a great story-teller! System Requirements for Windows.  Windows 98, 2000, Me, XP.  Pentium166 MHz or faster.  32 MB RAM.  120 MB free hard disk space.  640x480 monitor, 16-bit color.  Windows-compatible sound card.  speakers.  8X CD-ROM drive.  System Requirements for Macintosh.  Mac OS 8.6.2, OS X.  Power PC 180 MHz or faster.  32 MB RAM.  120 MB free hard disk space.  640x480 monitor, thousands of colors.  8X CD-ROM drive.']"
12,school house rock america rock,"['Schoolhouse Rock: America Rock lets players experience American history and geography while trying to get their bill passed through both houses of Congress and on to The White House. To get on the road to Capitol Hill, players must gain one acceptance stamp from each of the games contained in the program. Beating the game gives the players the stamp they need but each game has a different requirement for winning. Players have their choice of five different bills or they can write their own. There are three levels of difficulty that cannot be switched while in the game. In addition to gaining acceptance stamps, winning the five games gives players tools they can use to get out of the various pitfalls on their way to getting their bill voted into law. To get help on the games, players can also view the videos that were originally shot for the Schoolhouse Rock program.']"
13,Star Wars Math: Jabba's Game Galaxy,"['Product Description Your ship has crash-landed on the planet Tatooine near Jabba the Hutt\'s famous game plaza. Earn credits to buy new ship parts by outsmarting your opponents in games of skill and logic. Rebuild your ship and return home. Develop your knowledge of addition, subtraction, multiplication, equivalancies, and geometric relationships. Star Wars Math excites kids about math through the incentive of competition and the challenge of strategy. An overarching goal within a nonlinear game encourages replay, while multiple difficulty levels allow players to learn at their own pace. Lonely? Try choosing the two-player option to challenge friends. WINDOWS CD-ROM 100% Windows 95, 98, or 2000 DirectX compatible computer required* Pentium class 166MHz or faster computer required 32MB RAM minimum required 4X IDE or SCSI CD-ROM drive minimum required 100% DirectX compatible 2MB PCI or AGP graphics card required 100% DirectX compatible 16-bit sound card required 100% Windows 95/98/2000 compatible mouse and keyboard required Minimum 100MB of free hard disk space recommended QuickTime 4.1.2 required** *NOTE: Microsoft DirectX 7.0 is included on this CD-ROM and must be installed to play Star Wars Math. Your system may require the ""latest"" Windows 95/98/2000 drivers for your particular hardware. MACINTOSH CD-ROM Apple Macintosh and 100% compatibles required Mac OS version 7.6 or higher Minimum 160MHz PowerPC 603e, 120MHz PowerPC 604, or any G3 or faster processor required 32MB RAM minimum required 4X CD-ROM drive minimum required Mouse and keyboard required 640x480 display with thousands of colors Minimum 100MB of free hard disk space recommended QuickTime 4.1.2 required** **NOTE: QuickTime 4.1.2 is included on this CD-ROM and must be installed to play Star Wars Math.']"
14,Soccer Mania,"['Supports Windows XP, rated E for everyone']"
15,LEGO Island 2 - PC,"[""There is so much to do on LEGO Island: building, racing, flying, water jetting, skateboarding and just kickin' with your friends... unless you accidentally let the Brickster out of jail. Award Winning."", 'The mischievous Brickster has broken out of the town jail and turned loose his army of Brickster Bots to take apart LEGO Island brick by little plastic brick. Players become Pepper, the skateboarding pizza delivery boy, to battle Brickster through 18 levels based on popular LEGO play themes, such as Adventurers, Castle, and LEGO City. Players ride a variety of conveyances around the island from a first-person perspective, including a space shuttle and a pterodactyl. Objectives within the levels include deep-sea diving for bricks, jousting with the Dark Knight, snake shooting, matching mummies in ancient Egypt, and target parachuting. Friendly LEGO figures are always close by and willing to offer pithy observations.']"
16,Need for Speed Racing Pack,['3 Great games in one box set!']
17,Star Wars Arcade SEGA 32X,['Star Wars Arcade SEGA 32X']
18,Scooby-do Mystery Adventures,['cartoon network']
19,Nancy Drew 3D Interactive Mystery Game,['WOW! 3d NANCY DREW MYSTERY GAME 20+ hours of game play']
20,"Pearl Harbor Zero Hour, Warbirds III Fighter Pilot Academy",[]
21,Zapper- One Wicked Cricket!,"[""This wicked cricket is a rugged individualist, outdoorsy type. He's cynical with springy reflexes. He's into avoiding trouble and can defend himself with electrified antennae. He's looking for adventure with the right person.""]"
22,Sid Meier's Civilization III,"['Civilization III, a highly addictive journey of discovery, now features an updated and enhanced multiplayer expansion pack called, Civilization III: Play the World, as well as all of the great new ""Civs,"" Scenarios, and Features from Civilization III: Conquests! Civilization III: Complete provides more ways to win, more ways to explore, more strategies to employ, and more exciting modes of play all in one this version! Civilization III: Complete gives Civ fans the opportunity to enjoy the best strategic gameplay, alone or against players from around the whole earth! Cibilization III is a must have for serious gamers!']"
23,Chessmaster 9000,"['WITH AUDIO ADVISE, VARIETY OF TOURNAMENTS, , WITH BEGINNING, INTERMEDIATE, AND ADVANCED,']"
